località,lat,lon,time,temperatura_media,neve,pioggia,sole,nebbia,vento
ALP 2500,42.3364,1.8985,2021-11-20,11.035858461647258,0,1,0,0,0
ALP 2500,42.3364,1.8985,2021-11-21,12.69912557701192,0,1,0,0,0
ALP 2500,42.3364,1.8985,2021-11-22,13.256468930470705,0,1,0,0,0
ALP 2500,42.3364,1.8985,2021-11-23,13.371471485133902,0,0,0,1,0
ALP 2500,42.3364,1.8985,2021-11-24,16.316353648622382,0,0,0,0,1
ALP 2500,42.3364,1.8985,2021-11-25,11.808903800695012,0,0,1,0,1
ALP 2500,42.3364,1.8985,2021-11-26,14.548668581968412,0,0,0,0,0
ALP 2500,42.3364,1.8985,2021-11-27,12.98651094731098,0,1,0,0,0
ALP 2500,42.3364,1.8985,2021-11-28,14.179798643537191,0,1,0,1,0
ALP 2500,42.3364,1.8985,2021-11-29,11.435679299890118,0,0,0,0,0
ALP 2500,42.3364,1.8985,2021-11-30,15.506868499494312,0,0,0,0,1
ALP 2500,42.3364,1.8985,2021-12-01,-2.902241902395847,0,0,0,1,0
ALP 2500,42.3364,1.8985,2021-12-02,1.773068754602649,0,0,1,0,0
ALP 2500,42.3364,1.8985,2021-12-03,-2.427732242610157,1,0,0,0,0
ALP 2500,42.3364,1.8985,2021-12-04,-0.2430680149554289,0,0,0,0,0
ALP 2500,42.3364,1.8985,2021-12-05,-1.7703726564787203,0,0,1,0,0
ALP 2500,42.3364,1.8985,2021-12-06,-1.382597690476218,0,0,0,1,0
ALP 2500,42.3364,1.8985,2021-12-07,-0.0965529253885169,1,0,0,0,1
ALP 2500,42.3364,1.8985,2021-12-08,-6.1839681144799,1,0,0,0,0
ALP 2500,42.3364,1.8985,2021-12-09,-3.5453215142254075,0,0,0,0,1
ALP 2500,42.3364,1.8985,2021-12-10,-2.99239474851344,0,0,1,0,0
ALP 2500,42.3364,1.8985,2021-12-11,-1.061081762600618,1,0,0,0,0
ALP 2500,42.3364,1.8985,2021-12-12,-1.692325648653699,0,0,1,0,0
ALP 2500,42.3364,1.8985,2021-12-13,-0.8651179836700362,0,0,1,0,1
ALP 2500,42.3364,1.8985,2021-12-14,-0.0353940720018162,1,0,0,0,0
ALP 2500,42.3364,1.8985,2021-12-15,-4.181736114104811,1,0,0,0,0
ALP 2500,42.3364,1.8985,2021-12-16,-5.249612948540089,1,0,0,1,1
ALP 2500,42.3364,1.8985,2021-12-17,-3.7456444136075024,0,0,1,0,0
ALP 2500,42.3364,1.8985,2021-12-18,-4.266324685843609,0,0,1,0,0
ALP 2500,42.3364,1.8985,2021-12-19,0.3454775298558066,1,0,0,0,0
ALP 2500,42.3364,1.8985,2021-12-20,-4.755422887558927,1,0,0,1,0
ALP 2500,42.3364,1.8985,2021-12-21,-2.8894624799483832,0,0,0,1,0
ALP 2500,42.3364,1.8985,2021-12-22,-1.496894457371898,1,0,0,0,0
ALP 2500,42.3364,1.8985,2021-12-23,-3.739049497872237,1,0,0,0,1
ALP 2500,42.3364,1.8985,2021-12-24,-1.4236465702744576,0,0,1,0,1
ALP 2500,42.3364,1.8985,2021-12-25,-3.375084365139233,0,0,1,0,0
ALP 2500,42.3364,1.8985,2021-12-26,-4.286914683300574,1,0,0,0,0
ALP 2500,42.3364,1.8985,2021-12-27,-3.4017240914390467,0,0,1,0,0
ALP 2500,42.3364,1.8985,2021-12-28,-1.589727514324216,0,0,1,0,0
ALP 2500,42.3364,1.8985,2021-12-29,-3.568841351044612,0,0,1,0,0
ALP 2500,42.3364,1.8985,2021-12-30,-0.9196171707155854,0,0,0,1,0
ALP 2500,42.3364,1.8985,2021-12-31,-3.3042201789446186,0,0,0,1,0
ALP 2500,42.3364,1.8985,2022-01-01,-3.699764233968797,1,0,0,0,1
ALP 2500,42.3364,1.8985,2022-01-02,-2.3264462785288926,0,0,1,0,0
ALP 2500,42.3364,1.8985,2022-01-03,-2.181711806006335,1,0,0,1,0
ALP 2500,42.3364,1.8985,2022-01-04,-0.0637941780746604,1,0,0,0,0
ALP 2500,42.3364,1.8985,2022-01-05,-1.728500986387946,0,0,0,0,0
ALP 2500,42.3364,1.8985,2022-01-06,-1.7178949164789517,0,0,0,0,0
ALP 2500,42.3364,1.8985,2022-01-07,-1.1207630116376834,0,0,0,1,0
ALP 2500,42.3364,1.8985,2022-01-08,-1.77037026794775,0,0,0,0,1
ALP 2500,42.3364,1.8985,2022-01-09,-3.016432640371204,0,0,1,0,0
ALP 2500,42.3364,1.8985,2022-01-10,-2.5872039479204627,0,0,1,0,1
ALP 2500,42.3364,1.8985,2022-01-11,1.9384786678756671,1,0,0,0,1
ALP 2500,42.3364,1.8985,2022-01-12,-3.21957874193816,1,0,0,0,0
ALP 2500,42.3364,1.8985,2022-01-13,0.1311774405123311,0,0,1,0,0
ALP 2500,42.3364,1.8985,2022-01-14,-1.7600159255202548,1,0,0,0,0
ALP 2500,42.3364,1.8985,2022-01-15,3.676706565630217,0,0,1,0,1
ALP 2500,42.3364,1.8985,2022-01-16,-3.956550301971933,0,0,1,0,0
ALP 2500,42.3364,1.8985,2022-01-17,-1.318974436994174,1,0,0,0,0
ALP 2500,42.3364,1.8985,2022-01-18,-6.517166605275348,0,0,0,1,0
ALP 2500,42.3364,1.8985,2022-01-19,-0.8508801267882107,0,0,0,0,0
ALP 2500,42.3364,1.8985,2022-01-20,-1.480928004119802,0,0,0,0,0
ALP 2500,42.3364,1.8985,2022-01-21,-3.195887928094762,0,0,0,0,0
ALP 2500,42.3364,1.8985,2022-01-22,-0.9751290346625932,1,0,0,1,0
ALP 2500,42.3364,1.8985,2022-01-23,-0.5225442485363216,1,0,0,0,0
ALP 2500,42.3364,1.8985,2022-01-24,-3.0352004767185514,0,0,0,0,0
ALP 2500,42.3364,1.8985,2022-01-25,-0.6579786949903381,0,0,0,0,0
ALP 2500,42.3364,1.8985,2022-01-26,-1.3022328085502792,0,0,0,0,0
ALP 2500,42.3364,1.8985,2022-01-27,2.515323011747045,0,0,0,0,0
ALP 2500,42.3364,1.8985,2022-01-28,0.6253013109141243,0,0,1,0,1
ALP 2500,42.3364,1.8985,2022-01-29,-1.246567813818749,0,0,1,0,0
ALP 2500,42.3364,1.8985,2022-01-30,-0.1127399527406165,0,0,1,0,1
ALP 2500,42.3364,1.8985,2022-01-31,-2.7827800936735576,0,0,1,0,1
ALP 2500,42.3364,1.8985,2022-02-01,0.0549372428346521,1,0,0,0,0
ALP 2500,42.3364,1.8985,2022-02-02,-3.0991204283335287,1,0,0,0,1
ALP 2500,42.3364,1.8985,2022-02-03,1.9142439449574613,0,0,0,0,0
ALP 2500,42.3364,1.8985,2022-02-04,1.853038217265132,0,0,1,0,0
ALP 2500,42.3364,1.8985,2022-02-05,-0.828318413205265,0,0,0,0,1
ALP 2500,42.3364,1.8985,2022-02-06,-0.2610104058744849,0,0,0,1,0
ALP 2500,42.3364,1.8985,2022-02-07,2.2352852279015925,0,0,1,0,0
ALP 2500,42.3364,1.8985,2022-02-08,3.8757244675475775,0,0,0,1,0
ALP 2500,42.3364,1.8985,2022-02-09,1.400313492177474,0,0,0,1,0
ALP 2500,42.3364,1.8985,2022-02-10,-1.4982072756834135,1,0,0,0,0
ALP 2500,42.3364,1.8985,2022-02-11,2.042317883865496,0,0,0,0,0
ALP 2500,42.3364,1.8985,2022-02-12,-0.0150915591396252,0,0,1,0,0
ALP 2500,42.3364,1.8985,2022-02-13,2.633954308191921,0,0,1,0,0
ALP 2500,42.3364,1.8985,2022-02-14,2.2674377232214478,0,0,1,0,0
ALP 2500,42.3364,1.8985,2022-02-15,2.2763264951304585,0,0,1,0,1
ALP 2500,42.3364,1.8985,2022-02-16,1.0800402218269074,0,0,0,1,1
ALP 2500,42.3364,1.8985,2022-02-17,4.577731011001081,0,1,0,1,0
ALP 2500,42.3364,1.8985,2022-02-18,3.7824550261258336,0,0,0,0,0
ALP 2500,42.3364,1.8985,2022-02-19,-0.1731202061978156,1,0,0,1,1
ALP 2500,42.3364,1.8985,2022-02-20,0.1062422058818062,0,0,0,0,1
ALP 2500,42.3364,1.8985,2022-02-21,2.2995313674525097,0,0,0,0,0
ALP 2500,42.3364,1.8985,2022-02-22,-2.055411044549717,0,0,1,0,0
ALP 2500,42.3364,1.8985,2022-02-23,-1.2154097288478145,0,0,1,0,0
ALP 2500,42.3364,1.8985,2022-02-24,-1.5896349724836325,0,0,1,0,0
ALP 2500,42.3364,1.8985,2022-02-25,0.3835712575620635,1,0,0,0,0
ALP 2500,42.3364,1.8985,2022-02-26,0.0075812936756762,0,0,1,0,1
ALP 2500,42.3364,1.8985,2022-02-27,4.855238696637282,0,1,0,0,0
ALP 2500,42.3364,1.8985,2022-02-28,5.458963851156723,0,0,1,0,1
ALP 2500,42.3364,1.8985,2022-03-01,3.549679452880381,0,1,0,0,0
ALP 2500,42.3364,1.8985,2022-03-02,0.347559960334407,0,0,1,0,0
ALP 2500,42.3364,1.8985,2022-03-03,0.5782023522813615,0,0,1,0,0
ALP 2500,42.3364,1.8985,2022-03-04,2.1022244468690694,0,0,1,0,0
ALP 2500,42.3364,1.8985,2022-03-05,2.4414244168831267,0,1,0,0,1
ALP 2500,42.3364,1.8985,2022-03-06,-2.109706760351167,1,0,0,0,0
ALP 2500,42.3364,1.8985,2022-03-07,3.5181424714907887,0,0,0,1,0
ALP 2500,42.3364,1.8985,2022-03-08,7.255061147063097,0,0,1,0,0
ALP 2500,42.3364,1.8985,2022-03-09,1.6745234695756508,0,0,1,0,0
ALP 2500,42.3364,1.8985,2022-03-10,2.585248487339938,0,0,1,0,0
ALP 2500,42.3364,1.8985,2022-03-11,-1.7042100112482137,0,0,0,1,0
ALP 2500,42.3364,1.8985,2022-03-12,2.0882954703231658,0,0,1,0,0
ALP 2500,42.3364,1.8985,2022-03-13,2.1474205404708373,0,0,0,0,0
ALP 2500,42.3364,1.8985,2022-03-14,2.280838207140317,0,0,1,0,1
ALP 2500,42.3364,1.8985,2022-03-15,4.537963249085705,0,0,1,0,1
ALP 2500,42.3364,1.8985,2022-03-16,1.936546003785358,0,0,1,0,0
